TotalPopulation,FemalePopulation,MalePopulation,BirthRate,DeathRate,MaleExpectancy,FemaleExpectancy,PriEnroll,TerEnroll,PriComple,LiterRate,Country,Year
333287557,168266219,165021339,,,,,,,,,USA,2022
332031554,167550001,164481553,11,10.4,73.5,79.3,,,,,USA,2021
331511512,167203010,164308503,10.9,10.3,74.2,79.9,100.305793762207,87.5676574707031,100.923667907715,,USA,2020
328329953,165599805,162730147,11.4,8.7,76.3,81.4,100.981300354004,87.8887100219727,100.489051818848,,USA,2019
326838199,164926348,161911851,11.6,8.678,76.2,81.2,101.256561279297,88.2991790771484,100.092697143555,,USA,2018
325122128,164151818,160970309,11.8,8.638,76.1,81.1,101.821441650391,88.1673889160156,98.8321990966797,,USA,2017
323071755,163224028,159847727,12.2,8.493,76.1,81.1,101.362861633301,88.8350524902344,,,USA,2016
320738994,162158414,158580581,12.4,8.44,76.3,81.2,100.299911499023,88.8894119262695,,,USA,2015
318386329,161084758,157301571,12.5,8.237,76.5,81.3,99.6733779907227,88.6268692016602,,,USA,2014
316059947,160034189,156025758,12.4,8.215,76.4,81.2,99.455436706543,88.7264175415039,,,USA,2013
313877662,159064447,154813215,12.6,8.102,76.4,81.2,,,,,USA,2012
311583481,158043988,153539494,12.7,8.073,76.3,81.1,,,,,USA,2011
309327143,156968302,152358841,13,7.995,76.2,81,,,,,USA,2010
306771529,155660194,151111335,13.5,7.9,76,80.9,,,,,USA,2009
304093966,154289840,149804127,14,8.1,75.6,80.6,,,,,USA,2008
301231207,152829130,148402076,14.3,8,75.5,80.6,,,,,USA,2007
298379912,151383683,146996229,14.3,8.1,75.2,80.3,,,,,USA,2006
295516599,149946323,145570277,14,8.3,75,80.1,101.8740234375,80.6348266601563,,,USA,2005
292805298,148594732,144210567,14,8.2,75,80.1,,,,,USA,2004
290107933,147242226,142865707,14.1,8.4,74.5,79.7,,,,,USA,2003
287625193,145972802,141652391,14,8.5,74.4,79.6,,,,,USA,2002
284968955,144625822,140343133,14.1,8.5,74.3,79.5,,,,,USA,2001
282162411,143251716,138910694,14.4,8.5,74.1,79.3,,,,,USA,2000
1417173173,685992675,731180498,,,,,,,,,IND,2022
1407563842,681060412,726503429,16.419,9.448,65.756,68.886,102.051307678223,31.3036403656006,97.3657073974609,,IND,2021
